key,en,jp,ch,tc,ru,sp,latam,gr,pl,it,tr,fr,br,pr,kr,hu
menu_play,Play,プレイ,开始游戏,開始遊戲,Играть,Jugar,Jugar,Spielen,Graj,Gioca,Oyna,Jouer,Jogar,Jogar,시작,Játék
menu_back,Back,戻る,返回,返回,Назад,Atrás,Atrás,Zurück,Powrót,Indietro,Geri Dön,Retour,Voltar,Voltar,뒤로,Vissza
menu_options,Options,オプション,选项,遊戲設定,Опции,Opciones,Opciones,Einstellungen,Opcje,Opzioni,Ayarlar,Options,Opções,Opções,설정,Beállítások
menu_languages,Language: English,Language: 日本語,Language: 简体中文,Language: 繁體中文,Русский,Languaje: Español,Languaje: Español,Sprache: Deutsch,Język: Polski,Lingua: Italiano,Dil: Türkçe,Langue : Anglais,Idioma: Português Brasileiro,Idioma: Português Brasileiro,언어: 한국어,Nyelv: Magyar
menu_wishlist,Wishlist Full Version,製品版をウィッシュリスト,添加正式版至愿望单,新增至願望清單,Добавить Полную версию в Желаемое,Compra la Versión Completa,Compra la Versión Completa,setze die Vollversion auf deine Wunschliste,Dodaj Pełną Wersję do Listy Życzeń,Acquista la Versione Completa,Tam Sürümü İstek Listene Ekle,Ajouter à la Liste de Souhaits,Adicione a Versão Completa à Lista de Desejos,Adicione a Versão Completa à Lista de Desejos,풀 버전 위시리스트에 담기,Teljes Verzió Kívánságlistába Helyezése
menu_quit,Quit,終了,退出,離開,Выход,Salir,Salir,Beenden,Wyjdź,Esci,Çıkış,Quitter,Sair,Sair,종료,Kilépés
bgm_options_label,Music Volume:,BGMボリューム：,音乐音量：,音樂：,Громкость музыки:,Volumen de Música:,Volumen de Música:,Musik Lautstärke:,Głośność Muzyki:,Volume Musica:,Müzik Sesi:,Volume Musique :,Volume da Música:,Volume da Música:,음악 볼륨:,Zene Hangerő:
sfx_options_label,SFX Volume:,効果音ボリューム：,音效音量：,音效：,Громкость эффектов:,Volumen de SFX:,Volumen de SFX:,SFX Lautstärke:,Głośność Efektów Dźwiękowych:,Volume Effetti:,Efekt Sesi:,Volume Effets :,Volume dos Efeitos Sonoros:,Volume dos Efeitos Sonoros:,SFX 볼륨:,SFX Hangerő:
fullscreen_options_label,Fullscreen:,フルスクリーン：,全屏：,全螢幕：,Полный экран:,Pantalla Completa:,Pantalla Completa:,Vollbild:,Pełny Ekran:,Schermo Intero:,Tam Ekran:,Plein Écran :,Tela Cheia:,Tela Cheia:,전체화면 모드:,Teljes Képernyő:
camerashake_options_label,Camera Shake:,画面の振動：,镜头抖动：,鏡頭抖動,Тряска камеры:,Temblores de Pantalla:,Temblores de Pantalla:,Kamerawackeln:,Drgania Kamery:,Vibrazione Schermo:,Kamera Titremesi:,Tremblement Caméra :,Vibração da tela:,Vibração da tela:,화면 흔들림:,Kamera Rázkódás:
